Company name,Valuation (in $B),Date Joined,Country of origin,City,Industry,Investors,Longitude,Latitude,longitude,latitude,lon,lat
Paidy,1.2,30-03-2021,Japan,Tokyo,Fintech,"ITOCHU Corporation, Arbor Ventures, Soros Fund Management",139.2394179,36.5748441,139.2394179,36.5748441,139.7594549,35.6828387
Cava Group,1.2,27-04-2021,United States,Washington,Other,"SWaN & Legend Ventures, Revolution Growth, Invus Group",-100.4458825,39.7837304,-100.4458825,39.7837304,-77.0365581,38.8949924
Vectra Networks,1.2,29-04-2021,United States,San Jose,Artificial intelligence,"IA Ventures, Khosla Ventures, AME Cloud Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-121.890583,37.3361905
Ada Support,1.2,07-05-2021,Canada,Toronto,Artificial intelligence,"Version One Ventures, Bessemer Venture Partners, FirstMark Capital",-107.991707,61.0666922,-107.991707,61.0666922,-79.3839347,43.6534817
Inari,1.2,12-05-2021,United States,Cambridge,Other,"Flagship Pioneering, Alexandria Venture Investments, Investment Corporation of Dubai",-100.4458825,39.7837304,-100.4458825,39.7837304,0.1235817,52.2034823
Project44,1.2,01-06-2021,United States,Chicago,"Supply chain, logistics, & delivery","Emergence Capital Partners, 8VC, Chicago Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-87.6244212,41.8755616
Alation,1.2,03-06-2021,United States,Redwood City,Internet software & services,"Costanoa Ventures, Data Collective, Salesforce Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.232523,37.4863239
L&P Cosmetic,1.19,01-01-2016,South Korea,Seoul,Consumer & retail,CDIB Capital,127.6961188,36.638392,127.6961188,36.638392,126.9782914,37.5666791
Unisound,1.19,19-07-2018,China,Beijing,Artificial intelligence,"Qiming Venture Partners, China Internet Investment Fund, Qualcomm Ventures",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Mininglamp Technology,1.19,27-03-2019,China,Beijing,Artificial intelligence,"Russia-China Investment Fund, Tencent Holdings, Sequoia Capital China",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Sysdig,1.19,28-04-2021,United States,San Francisco,Cybersecurity,"Accel, Bain Capital Ventures, Insight Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Luoji Siwei,1.18,20-07-2017,China,Beijing,Edtech,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Cerebras Systems,1.17,14-11-2018,United States,Los Altos,Hardware,"Benchmark, Foundation Capital, Sequoia Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-3.620209627,42.7811566
Yimidida,1.17,14-01-2019,China,Shanghai,"Supply chain, logistics, & delivery","Source Code Capital, Global Logistic Properties, K2VC",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Modern Health,1.17,11-02-2021,United States,San Francisco,Health,"Kleiner Perkins Caufield & Byers, Afore Capital, Founders Fund",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Tuhu,1.16,15-09-2018,China,Shanghai,Auto & transportation,"Qiming Venture Partners, Yaxia Automobile, Far East Horizon",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
LifeMiles,1.15,13-07-2015,Colombia,Bogota,Other,Advent International,-73.783892,2.8894434,-73.783892,2.8894434,-74.083652,4.6533326
Venafi,1.15,10-12-2020,United States,Salt Lake City,Cybersecurity,"Pelion Venture Partners, Foundation Capital, Thoma Bravo",-100.4458825,39.7837304,-100.4458825,39.7837304,-111.8867975,40.7596198
Doctolib,1.14,19-03-2019,France,Paris,Health,"BPI France, Kerala Ventures, Accel",1.8883335,46.603354,1.8883335,46.603354,2.3514616,48.8566969
Deposit Solutions,1.13,18-09-2019,Germany,Hamburg,Fintech,"e.ventures, Greycroft, FinLab",10.4234469,51.0834196,10.4234469,51.0834196,10.000654,53.550341
TELD,1.12,16-12-2019,China,Qingdao,Fintech,"China Reform Fund, Gaopeng Capital, Jinhui Xingye",104.999927,35.000074,104.999927,35.000074,120.3781372,36.0638034
TangoMe,1.1,20-03-2014,United States,Mountain View,Mobile & telecommunications,"Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.0832101,37.3893889
AppDirect,1.1,07-10-2015,United States,San Francisco,E-commerce & direct-to-consumer,"Mithril, iNovia Capital, Foundry Group",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Juanpi,1.1,14-04-2016,China,Wuhan,E-commerce & direct-to-consumer,"Tiantu Capital, SAIF Partners China, Newsion Venture Capital",104.999927,35.000074,104.999927,35.000074,114.2999353,30.5951051
OVH,1.1,15-08-2016,France,Roubaix,Other,"KKR, TowerBrook Capital Partners",1.8883335,46.603354,1.8883335,46.603354,3.1741734,50.6915893
Eat Just,1.1,30-11-2017,United States,San Francisco,Consumer & retail,"Khosla Ventures, Horizons Ventures, Founders Fund",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
GetYourGuide,1.1,16-05-2019,Germany,Berlin,Travel,"Spark Capital, Highland Europe, Sunstone Capital",10.4234469,51.0834196,10.4234469,51.0834196,13.3888599,52.5170365
Ivalua,1.1,21-05-2019,United States,Redwood City,Fintech,"Ardian, Tiger Global Management, KKR",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.232523,37.4863239
Coveo,1.1,06-11-2019,Canada,Quebec City,Artificial intelligence,"Fonds de Solidarite FTQ, Propulsion Ventures, BDC Venture Capital",-107.991707,61.0666922,-107.991707,61.0666922,-71.2352226,46.8259601
Sisense,1.1,09-01-2020,United States,New York,Data management & analytics,"Opus Capital, Genesis Partners, Battery Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Course Hero,1.1,12-02-2020,United States,Redwood City,Edtech,"NewView Capital, Maveron, Ridge Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.232523,37.4863239
Sema4,1.1,29-07-2020,United States,Stamford,Health,"Blackrock, Connecticut Innovations, Deerfield Management",-100.4458825,39.7837304,-100.4458825,39.7837304,-73.54443615,41.072089
Pharmapacks,1.1,12-11-2020,United States,Islandia,E-commerce & direct-to-consumer,The Carlyle Group,-100.4458825,39.7837304,-100.4458825,39.7837304,-18.1059013,64.9841821
SalesLoft,1.1,06-01-2021,United States,Atlanta,Internet software & services,"Caffeinated Capital, Obvious Ventures, Venrock",-100.4458825,39.7837304,-100.4458825,39.7837304,-84.3902644,33.7489924
Nexthink,1.1,08-02-2021,Switzerland,Prilly,Data management & analytics,"Auriga, Galeo Ventures, Highland Europe",8.2319736,46.7985624,8.2319736,46.7985624,6.6055827,46.534566
Zego,1.1,09-03-2021,United Kingdom,London,Fintech,"LocalGlobe, Balderton Capital, Target Global",-3.2765753,54.7023545,-3.2765753,54.7023545,-0.1276474,51.5073219
Ginger,1.1,24-03-2021,United States,San Francisco,Health,"Kaiser Permanente Ventures, Khosla Ventures, True Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Rightway,1.1,30-03-2021,United States,New York,Health,"Thrive Capital, Khosla Ventures, Tiger Global Management",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Misfits Market,1.1,21-04-2021,United States,Pennsauken,E-commerce & direct-to-consumer,"Accel, D1 Capita Partners, Greenoaks Capital Management",-100.4458825,39.7837304,-100.4458825,39.7837304,-75.0579502,39.9562238
Sunbit,1.1,20-05-2021,United States,Los Angeles,Fintech,"Zeev Ventures, Group11, Chicago Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-118.242766,34.0536909
Biren Technology,1.09,18-08-2020,China,Shanghai,Hardware,"V FUND, IDG Capital, Green Pine Capital Partners",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Nxin,1.08,18-09-2018,China,Beijing,Internet software & services,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Rubicon Global,1.07,25-08-2017,United States,Atlanta,Other,"Goldman Sachs, Leonardo DiCaprio, Promecap",-100.4458825,39.7837304,-100.4458825,39.7837304,-84.3902644,33.7489924
Radius Payment Solutions,1.07,27-11-2017,United Kingdom,Crewe,Fintech,Inflexion Private Equity,-3.2765753,54.7023545,-3.2765753,54.7023545,-2.4326364,53.0889629
Rivigo,1.07,11-07-2019,India,Gurgaon,"Supply chain, logistics, & delivery","SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors",78.6677428,22.3511148,78.6677428,22.3511148,77.00270015,28.42826235
Dataiku,1.06,04-12-2019,United States,New York,Internet software & services,"Alven Capital, FirstMark Capital, capitalG",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Jiuxian,1.05,30-07-2015,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Instabase,1.05,21-10-2019,United States,San Francisco,Data management & analytics,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Hesai Tech,1.05,01-08-2020,China,Shanghai,Artificial intelligence,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Proterra,1.05,15-10-2020,United States,Burlingame,"Supply chain, logistics, & delivery","GM Ventures, VentureSouth, Kleiner Perkins Caufield & Byers",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.3660825,37.5841026
Sendbird,1.05,06-04-2021,United States,San Mateo,Mobile & telecommunications,"FundersClub, Y Combinator, Tiger Global Management",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.3330573,37.496904
Aprogen,1.04,31-05-2019,South Korea,Seongnam-Si,Health,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical",127.6961188,36.638392,127.6961188,36.638392,127.1262092,37.4201556
OrCam Technologies,1.03,20-02-2018,Israel,Jerusalem,Artificial intelligence,"Intel Capital, Aviv Venture Capital",34.8667654,31.5313113,34.8667654,31.5313113,35.21198076,31.79592425
Leap Motor,1.01,20-11-2018,China,Hangzhou,Auto & transportation,"Sequoia Capital China, Gopher Asset Management, Shanghai Electric Group",104.999927,35.000074,104.999927,35.000074,120.2052342,30.2489634
Lookout,1,10-10-2013,United States,San Francisco,Cybersecurity,"Accel Partners, Greylock Partners, Lowercase Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Snapdeal,1,21-05-2014,India,New Delhi,E-commerce & direct-to-consumer,"SoftBankGroup, Blackrock, Alibaba Group",78.6677428,22.3511148,78.6677428,22.3511148,77.2090057,28.6138954
TechStyle Fashion Group,1,29-08-2014,United States,El Segundo,E-commerce & direct-to-consumer,"Matrix Partners, Passport Capital, Rho Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-118.4156337,33.917028
InMobi,1,02-12-2014,India,Bengaluru,Mobile & telecommunications,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures",78.6677428,22.3511148,78.6677428,22.3511148,77.5912997,12.9791198
LinkSure Network,1,01-01-2015,China,Shanghai,Mobile & telecommunications,,104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Red Ventures,1,07-01-2015,United States,Fort Mill,Other,"Silver Lake Partners, General Atlantic",-100.4458825,39.7837304,-100.4458825,39.7837304,-80.9450759,35.0073697
BeiBei,1,22-01-2015,China,Hangzhou,E-commerce & direct-to-consumer,"Banyan Capital, New Horizon Capital, IDG Capital Partners",104.999927,35.000074,104.999927,35.000074,120.2052342,30.2489634
Lamabang,1,06-03-2015,China,Shenzhen,E-commerce & direct-to-consumer,"5Y Capital, Matrix Partners China, K2VC",104.999927,35.000074,104.999927,35.000074,114.0543297,22.555454
JimuBox,1,21-04-2015,China,Beijing,Fintech,"Matrix Partners China, Ventech China, Shunwei Capital Partners",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
BenevolentAI,1,02-06-2015,United Kingdom,London,Artificial intelligence,Woodford Investment Management,-3.2765753,54.7023545,-3.2765753,54.7023545,-0.1276474,51.5073219
FXiaoKe,1,02-07-2015,China,Beijing,Mobile & telecommunications,"IDG Capital, Northern Light Venture Capital, DCM Ventures",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Vox Media,1,12-08-2015,United States,Washington,Internet software & services,"Accel Partners, Comcast Ventures, General Atlantic",-100.4458825,39.7837304,-100.4458825,39.7837304,-77.0365581,38.8949924
Mia.com,1,08-09-2015,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, ZhenFund, K2 Ventures",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Womai,1,12-10-2015,China,Beijing,E-commerce & direct-to-consumer,"SAIF Partners China, Baidu, IDG Capital",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
58 Daojia,1,12-10-2015,China,Beijing,Internet software & services,"KKR, Alibaba Group, Ping An Insurance",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
HuJiang,1,29-10-2015,China,Shanghai,Edtech,"China Minsheng Investment, Baidu, Wanxin Media",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
iTutorGroup,1,18-11-2015,China,Shanghai,Edtech,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
MindMaze,1,28-01-2016,Switzerland,Lausanne,Health,Hinduja Group,8.2319736,46.7985624,8.2319736,46.7985624,6.6327025,46.5218269
iCarbonX,1,12-04-2016,China,Shenzhen,Artificial intelligence,"Tencent, Vcanbio",104.999927,35.000074,104.999927,35.000074,114.0543297,22.555454
Age of Learning,1,03-05-2016,United States,Glendale,Edtech,Iconiq Capital,-100.4458825,39.7837304,-100.4458825,39.7837304,-118.2478471,34.1469416
SMS Assist,1,07-06-2016,United States,Chicago,Internet software & services,"Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-87.6244212,41.8755616
Kendra Scott,1,21-12-2016,United States,Austin,Consumer & retail,"Berkshire Partners, Norwest Venture Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-97.7436995,30.2711286
Mobvoi,1,06-04-2017,China,Beijing,Consumer & retail,"Sequoia Capital China, SIG Asia Investments, ZhenFund",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Zhuan Zhuan,1,18-04-2017,China,Beijing,E-commerce & direct-to-consumer,"58.com, Tencent Holdings",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Modernizing Medicine,1,10-05-2017,United States,Boca Raton,Health,"Warburg Pincus, Summit Partners, Sands Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-80.0830984,26.3586885
Zhaogang,1,29-06-2017,China,Shanghai,E-commerce & direct-to-consumer,"K2 Ventures, Matrix Partners China, IDG Capital",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
DianRong,1,02-08-2017,China,Shanghai,E-commerce & direct-to-consumer,"Standard Chartered, FinSight Ventures, Affirma Capital",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Cell C,1,07-08-2017,South Africa,Midrand,Mobile & telecommunications,"Blue Label Telecoms, Net1 UEPS Technologies",24.991639,-28.8166236,24.991639,-28.8166236,28.125912,-25.999262
YH Global,1,21-09-2017,China,Shenzhen,"Supply chain, logistics, & delivery","Co-Energy Finance, Grandland",104.999927,35.000074,104.999927,35.000074,114.0543297,22.555454
Revolution Precrafted,1,23-10-2017,Philippines,Manila,Other,"K2 Global, 500 Startups",122.7312101,12.7503486,122.7312101,12.7503486,120.9809674,14.5907332
WeLab,1,08-11-2017,Hong Kong,,Fintech,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund",114.1628131,22.2793278,114.1628131,22.2793278,11.0480288,46.3144754
Maimai,1,15-11-2017,China,Beijing,Mobile & telecommunications,"Morningside Venture Capital, IDG Capital, DCM Ventures",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Payoneer,1,05-12-2017,United States,New York,Fintech,"Susquehanna Growth Equity, 83North, China Broadband Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Rani Therapeutics,1,08-02-2018,United States,San Jose,Health,"Google Ventures, VentureHealth, InCube Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-121.890583,37.3361905
Upgrade,1,12-02-2018,United States,San Francisco,Fintech,"Union Square Ventures, Ribbit Capital, VY Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Dxy.cn,1,10-04-2018,China,Hangzhou,Health,"Tencent Holdings, DCM Ventures",104.999927,35.000074,104.999927,35.000074,120.2052342,30.2489634
SoundHound,1,03-05-2018,United States,Santa Clara,Artificial intelligence,"Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera",-100.4458825,39.7837304,-100.4458825,39.7837304,-121.6846349,37.2333253
HMD Global,1,21-05-2018,Finland,Espoo,Mobile & telecommunications,Ginko Ventures,25.9209164,63.2467777,25.9209164,63.2467777,24.6603626,60.2241869
Orbbec Technology,1,21-05-2018,China,Shenzhen,Hardware,"R-Z Capital, Green Pine Capital Partners, SAIF Partners China",104.999927,35.000074,104.999927,35.000074,114.0543297,22.555454
Huike Group,1,24-05-2018,China,Beijing,Edtech,"Fosun RZ Capital, Oceanwide Holdings, Shenzhen Qianhe Capital Management Co.",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
China Cloud,1,11-06-2018,China,Wuxi,Hardware,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management",104.999927,35.000074,104.999927,35.000074,120.3074357,31.4933074
LinkDoc Technology,1,05-07-2018,China,Beijing,Health,"China Investment Corporation, New Enterprise Associates",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
MediaMath,1,10-07-2018,United States,New York,Internet software & services,"Silicon Valley Bank, QED Investors, European Founders Fund",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Movile,1,12-07-2018,Brazil,Sao Paulo,Mobile & telecommunications,"Innova Capital - FIP, 3G Capital Management, Prosus Ventures",-53.2,-10.3333333,-53.2,-10.3333333,-46.6333824,-23.5506507
Kuaigou Dache,1,13-07-2018,China,Tianjin,"Supply chain, logistics, & delivery","Sequoia Capital China, InnoVision Capital, Qianhai Fund of Funds",104.999927,35.000074,104.999927,35.000074,117.1951073,39.0856735
Pat McGrath Labs,1,16-07-2018,United States,New York,Consumer & retail,"One Luxury Group, Eurazeo",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Wacai,1,18-07-2018,China,Hangzhou,Mobile & telecommunications,"Qiming Venture Partners, China Broadband Capital, CDH Investments",104.999927,35.000074,104.999927,35.000074,120.2052342,30.2489634
About You,1,19-07-2018,Germany,Hamburg,E-commerce & direct-to-consumer,"German Media Pool, Seven Venture Capital",10.4234469,51.0834196,10.4234469,51.0834196,10.000654,53.550341
Medlinker,1,31-07-2018,China,Chengdu,Health,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China",104.999927,35.000074,104.999927,35.000074,104.0633717,30.6598628
FlashEx,1,27-08-2018,China,Beijing,"Supply chain, logistics, & delivery","Prometheus Capital, Matrix Partners China, JD Capital Management",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Branch,1,10-09-2018,United States,Redwood City,Mobile & telecommunications,"New Enterprise Associates, Pear, Cowboy Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.232523,37.4863239
Banma Network Technologies,1,13-09-2018,China,Shanghai,Auto & transportation,"Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Tresata,1,10-10-2018,United States,Charlotte,Fintech,GCP Capital Partners,-100.4458825,39.7837304,-100.4458825,39.7837304,-80.8430827,35.2272086
Momenta,1,17-10-2018,China,Beijing,Artificial intelligence,"Sinovation Ventures, Tencent Holdings, Sequoia Capital China",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Hosjoy,1,18-10-2018,China,Nanjing,E-commerce & direct-to-consumer,"U.S.-China Green Fund, Founder H Fund, Richland Equities",104.999927,35.000074,104.999927,35.000074,118.7916458,32.0609736
Omio,1,23-10-2018,Germany,Berlin,Travel,"Lakestar, Battery Ventures, New Enterprise Associates",10.4234469,51.0834196,10.4234469,51.0834196,13.3888599,52.5170365
TERMINUS Technology,1,25-10-2018,China,Beijing,Hardware,"China Everbright Limited, IDG Capital, iFLYTEK",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
BitFury,1,06-11-2018,Netherlands,Amsterdam,Hardware,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital",5.7480821,52.5001698,5.7480821,52.5001698,4.8936041,52.3727598
WalkMe,1,13-11-2018,United States,San Francisco,Internet software & services,"Gemini Israel Ventures, Insight Venture Partners, Giza Venture Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
iFood,1,13-11-2018,Brazil,Osasco,"Supply chain, logistics, & delivery","Movile, Just Eat, Naspers",-53.2,-10.3333333,-53.2,-10.3333333,-46.7916801,-23.5324859
Geek+,1,21-11-2018,China,Beijing,Hardware,"Volcanics Ventures, Vertex Ventures China, Warburg Pincus",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
REEF Technology,1,10-12-2018,United States,Miami,"Supply chain, logistics, & delivery","Target Global, UBS Asset Management, Mubadala Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-80.19362,25.7741728
Globality,1,22-01-2019,United States,Menlo Park,Artificial intelligence,SoftBank Group,-100.4458825,39.7837304,-100.4458825,39.7837304,-122.1779927,37.4519671
Ynsect,1,21-02-2019,France,Evry,Other,"Astanor Ventures, Upfront Ventures, IDInvest Partners",1.8883335,46.603354,1.8883335,46.603354,3.25604,48.26406
OCSiAl,1,04-03-2019,Luxembourg,Leudelange,Other,"A&NN, Rusnano",6.1296751,49.8158683,6.1296751,49.8158683,6.0673211,49.5660842
Intellifusion,1,22-03-2019,China,Shenzhen,Artificial intelligence,"BOC International, TopoScend Capital, Hongxiu VC",104.999927,35.000074,104.999927,35.000074,114.0543297,22.555454
Liquid,1,03-04-2019,Japan,Tokyo,Fintech,"JAFCO Co, Bitmain Technologies, IDG Capital",139.2394179,36.5748441,139.2394179,36.5748441,139.7594549,35.6828387
Poizon,1,29-04-2019,China,Shanghai,Mobile & telecommunications,"DST Global, Sequoia Capital China, Gaorong Capital",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
VTS,1,07-05-2019,United States,New York,Internet software & services,"Trinity Ventures, Fifth Wall Ventures, OpenView Venture Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
SITECH DEV,1,16-05-2019,China,Guiyang,Other,China Prosperity Capital,104.999927,35.000074,104.999927,35.000074,112.72964,25.7561647
KnowBox,1,30-05-2019,China,Beijing,Edtech,"TAL Education Group, Legend Star, Alibaba Group",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Loggi,1,05-06-2019,Brazil,Sao Paulo,"Supply chain, logistics, & delivery","Qualcomm Ventures, SoftBank Group. Monashees+",-53.2,-10.3333333,-53.2,-10.3333333,-46.6333824,-23.5506507
Yanolja,1,10-06-2019,South Korea,Seoul,Travel,"SBI Investment Korea, Partners Investment, GIC",127.6961188,36.638392,127.6961188,36.638392,126.9782914,37.5666791
Gympass,1,12-06-2019,United States,New York,Internet software & services,"General Atlantic, SoftBank Group, Atomico",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Meero,1,18-06-2019,France,Paris,Artificial intelligence,"Aglae Ventures, Global Founders Capital, Alven Capital",1.8883335,46.603354,1.8883335,46.603354,2.3514616,48.8566969
Miaoshou Doctor,1,27-06-2019,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Ola Electric Mobility,1,02-07-2019,India,Bengaluru,Auto & transportation,"SoftBank Group, Tiger Global Management, Matrix Partners India",78.6677428,22.3511148,78.6677428,22.3511148,77.5912997,12.9791198
Lightricks,1,31-07-2019,Israel,Jerusalem,Artificial intelligence,"Viola Ventures, Insight Partners, ClalTech, Goldman Sachs",34.8667654,31.5313113,34.8667654,31.5313113,35.21198076,31.79592425
Ibotta,1,06-08-2019,United States,Denver,Fintech,"Koch Disruptive Technologies, Teamworthy Ventures, GGV Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-104.9848623,39.7392364
C2FO,1,07-08-2019,United States,Leawood,Fintech,"Union Square Ventures, Summerhill Venture Partners, Mithril Capital Management",-100.4458825,39.7837304,-100.4458825,39.7837304,-94.6169012,38.966673
Numbrs,1,22-08-2019,Switzerland,Zurich,Fintech,"Investment Corporation of Dubai, Centralway",8.2319736,46.7985624,8.2319736,46.7985624,8.5410422,47.3744489
CMR Surgical,1,17-09-2019,United Kingdom,Cambridge,Health,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",-3.2765753,54.7023545,-3.2765753,54.7023545,0.1235817,52.2034823
Grammarly,1,10-10-2019,United States,San Francisco,Internet software & services,"General Catalyst, Institutional Venture Partners, Breyer Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
EBANX,1,16-10-2019,Brazil,Curitiba,Fintech,"FTV Capital, Endeavor",-53.2,-10.3333333,-53.2,-10.3333333,-49.2712724,-25.4295963
Pendo,1,17-10-2019,United States,Raleigh,Internet software & services,"Contour Venture Partners, Battery Ventures, Core Capital Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-78.6390989,35.7803977
KK Group,1,23-10-2019,China,Dongguan,E-commerce & direct-to-consumer,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",104.999927,35.000074,104.999927,35.000074,113.7457788,23.0205969
Vacasa,1,29-10-2019,United States,Portland,Travel,"Level Equity, NewSpring Holdings, Riverwood Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.6741949,45.5202471
Riskified,1,05-11-2019,United States,New York,Cybersecurity,"Entree Capital, Genesis Partners, Qumra Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Bright HealthCare,1,17-12-2019,United States,Minneapolis,Health,"Bessemer Venture Partners, New Enterprise Associates, Greenspring Associates",-100.4458825,39.7837304,-100.4458825,39.7837304,-93.2654692,44.9772995
Glovo,1,19-12-2019,Spain,Barcelona,"Supply chain, logistics, & delivery","IDInvest Partners, Seaya Ventures, Lakestar",-4.8379791,39.3260685,-4.8379791,39.3260685,2.1774322,41.3828939
ClassPass,1,08-01-2020,United States,New York,Internet software & services,"General Catalyst, L Catterton, Acequia Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Alto Pharmacy,1,30-01-2020,United States,San Francisco,Health,"Jackson Square Ventures, Greenoaks Capital Management, Softbank Group",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
o9 Solutions,1,28-04-2020,United States,Dallas,Artificial intelligence,KKR,-100.4458825,39.7837304,-100.4458825,39.7837304,-96.7968559,32.7762719
Emerging Markets Property Group,1,28-04-2020,United Arab Emirates,Dubai,Other,"OLX Group, KCK Group, EXOR Seeds",53.9994829,24.0002488,53.9994829,24.0002488,55.18853865,25.07428235
Quizlet,1,13-05-2020,United States,San Francisco,Edtech,"Union Square Ventures, Altos Ventures, Costanoa Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
